id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4992301,Gemütliche helle Altbauwohnung,25738495,Barbara,,Rudolfsheim-Fnfhaus,48.19853,16.33606,Entire home/apt,51,2,185,2020-08-25,2.04,1,0,0,
5488396,Quiet & modern Appartment Schönbrunn,16968564,Miro,,Penzing,48.19161,16.29682,Entire home/apt,80,14,104,2020-08-12,1.15,3,201,0,
5501679,Spacious room in the heart of Vienna,28536717,Nico,,Josefstadt,48.20905,16.3474,Private room,33,2,5,2017-01-02,0.07,1,0,0,
5017094,Lovely Belvedere apartment for 2!,2689954,Diana,,Wieden,48.19149,16.37577,Entire home/apt,70,1,0,,,2,0,0,
5516784,"garden apartment, quiet, near center and AKH",28612089,Elisabeth,,Hernals,48.22087,16.32588,Entire home/apt,58,7,9,2021-06-22,0.14,1,280,0,
5018095,Great deal B&B for singles!,2689954,Diana,,Margareten,48.18458,16.36672,Private room,40,1,0,,,2,0,0,
5518562,Apartment Alt-Wien #103,20076579,Magdalena,,Hietzing,48.19134,16.26957,Entire home/apt,80,7,0,,,5,342,0,
5519742,Apartment Alt-Wien #110,20076579,Magdalena,,Hietzing,48.19002,16.26782,Entire home/apt,64,3,3,2022-08-14,0.04,5,345,1,
5020681,"Modern, central and beautiful flat",15884441,Ruth,,Leopoldstadt,48.22068,16.38278,Entire home/apt,87,1,304,2022-09-11,3.30,2,69,32,
5520101,Apartment Alt-Wien #111,20076579,Magdalena,,Hietzing,48.18991,16.26791,Entire home/apt,64,3,12,2022-07-03,0.17,5,351,2,
5042777,"Schönes, helles, 11qm Zimmer",26035521,Claudia,,Landstra§e,48.20915,16.39244,Private room,55,3,0,,,1,0,0,
5055235,Cozy appartment near Song Contest,15368936,Julia,,Rudolfsheim-Fnfhaus,48.19955,16.33768,Entire home/apt,150,5,0,,,1,0,0,
5524642,COZY ROOM NEAR SCHÖNBRUNN!!,28648205,Priscila,,Penzing,48.21151,16.26712,Private room,26,1,388,2022-09-09,4.33,1,163,55,
5074517,Brand new City Center Apartment,5218168,Georg,,Innere Stadt,48.20221,16.36357,Entire home/apt,85,2,145,2022-08-06,1.56,1,174,12,
